Temperature [K],Voltage [V],Resistance [Ohm],Current Source [A],Electric Field [V/cm],Resistivity [Ohm cm],Current Density [A/cm2]
288.12394854334786,6.281857845,6281.857845,0.001,264.387956439394,12709.129066041667,0.02080299563137092
288.1237621353369,9.70934853,3214.5816079054052,0.0030204081632653063,408.6426148989899,6503.574827104918,0.06283353782536522
288.1237248120043,9.256318305,1836.2736718421054,0.0050408163265306125,389.57568623737376,3715.0536786805555,0.10486408001935953
288.124570112317,8.742973395,1238.166752471098,0.007061224489795919,367.97026073232325,2504.994772360509,0.14689462221335384
288.1234514551118,8.281343005,911.8782185280897,0.009081632653061226,348.54137226430976,1844.864729151737,0.18892516440734816
288.12444563173415,7.511994205,676.6318309650735,0.011102040816326531,316.16137226430976,1368.9264357950792,0.23095570660134243
288.12607367881674,6.95617281,530.0971503732504,0.013122448979591837,292.7682159090909,1072.4650681162518,0.27298624879533673
288.12787583111924,6.476226244999999,427.6753180660376,0.015142857142857145,272.5684446548821,865.2505277539743,0.31501679098933105
288.1301129342045,6.194627580000001,360.92360454221165,0.01716326530612245,260.716648989899,730.20192215253,0.3570473331833254
288.13340634633823,5.6600446699999996,295.0448817340425,0.019183673469387756,238.21736826599326,596.9195061008176,0.39907787537731965
288.1375202405558,6.40080377,301.86658780558224,0.02120408163265306,269.39409806397305,610.7208281066642,0.4411084175713139
288.1419817156956,6.2055092300000005,267.19679461335676,0.02322448979591837,261.1746308922559,540.5787002131337,0.4831389597653083
288.1457724120123,5.939329915,235.26852533144702,0.025244897959183676,249.97179776936028,475.98308134186277,0.5251695019593026
288.14998533531127,6.08213695,223.07238813622752,0.02726530612244898,255.98219486531985,451.3084889607937,0.5672000441532968
288.15445951542904,4.453747215,152.07917319512194,0.02928571428571429,187.44727335858585,307.6786976216124,0.6092305863472912
288.15967931630587,4.33621144,138.51001340286828,0.031306122448979595,182.50048148148147,280.2262771159882,0.6512611285412855
288.16422813151485,4.23229289,126.99470398652785,0.0333265306122449,178.12680513468013,256.92910019496605,0.6932916707352798
288.1694727319466,4.13432403,116.96413248845265,0.035346938775510206,174.00353661616163,236.63576804376765,0.735322212929274
288.17449359709065,3.97742738,106.44125702894593,0.03736734693877551,167.40014225589226,215.346432044673,0.7773527551232684
288.17888059364867,3.91825829,99.47909648186528,0.03938775510204082,164.9098606902357,201.26094982673672,0.8193832973172627
288.18385182210056,3.7526459049999996,90.62575127895514,0.04140816326530612,157.93964246632996,183.34932087455277,0.8614138395112569
288.18723234591323,3.74338179,86.19629121710526,0.043428571428571434,157.54973863636363,174.38786695312498,0.9034443817052513
288.1905878457252,3.6580832450000003,80.48768702514593,0.04544897959183674,153.95973253367004,162.83851495365172,0.9454749238992457
288.1950742821693,3.641747005,76.71780019131556,0.047469387755102045,153.27218034511785,155.21147538705972,0.98750546609324
288.19816893397547,3.59983217,72.7388768371134,0.04948979591836735,151.50808796296297,147.16152397138222,1.0295360082872342
288.202841766192,3.55780144,69.06983778129953,0.051510204081632656,149.73911784511785,139.73851440012913,1.0715665504812284
288.2070798584448,3.501567435,65.41243016202822,0.05353061224489796,147.3723667929293,132.33903694817747,1.1135970926752228
288.21166552492315,3.3444159200000003,60.20440120499633,0.05555102040816327,140.7582457912458,121.80242280825645,1.1556276348692172
288.2166740350972,3.44753233,59.88269555831265,0.05757142857142858,145.09816203703704,121.15156462491957,1.1976581770632115
288.2216577267497,3.360165495,56.3863387859589,0.059591836734693884,141.4211066919192,114.07791689566686,1.2396887192572057
288.2262558866187,3.2976205949999997,53.52216268797614,0.06161224489795919,138.78874558080807,108.28326432706284,1.2817192614512
288.23120224414686,3.3082415149999997,51.98968384701731,0.0636326530612245,139.23575399831648,105.18283259790076,1.3237498036451945
288.2376024959242,3.231049745,49.21399984612993,0.0656530612244898,135.98694212962963,99.56721265166102,1.3657803458391886
288.24223816831204,3.242138755,47.90856423250904,0.0676734693877551,136.45365130471382,96.92612300743728,1.407810888033183
288.2472218280042,3.177951235,45.59871464568082,0.06969387755102041,133.75215635521886,92.252955093345,1.4498414302271772
288.2520810048761,3.1581351,44.03774043824701,0.07171428571428572,132.91814393939393,89.09487301626825,1.4918719724211715
288.25713908803414,3.115734015,42.25601072100747,0.07373469387755102,131.133586489899,85.49016983833457,1.5339025146151657
288.26184917331983,3.137100665,41.4110809765625,0.07575510204081633,132.03285627104378,83.78075179054544,1.57593305680916
288.2667085409152,3.11416427,40.04042225924954,0.07777551020408163,131.06751978114477,81.00770614487058,1.6179635990031545
288.2725495322235,2.9105319950000004,36.47469763554988,0.07979591836734694,122.49713783670035,73.79371697562637,1.6599941411971486
288.2770731982044,2.990515085,36.551568761536544,0.08181632653061224,125.86342950336702,73.94923865181237,1.702024683391143
288.2822056847877,3.144681105,37.509584748052575,0.08383673469387756,132.35189835858586,75.88744692082858,1.7440552255851376
288.2874253185996,3.1233000750000004,36.37787108985025,0.08585714285714287,131.45202335858588,73.5978225290026,1.7860857677791317
288.29212306652096,3.138159355,35.71059182419879,0.08787755102040817,132.07741393097643,72.24781771840217,1.8281163099731261
288.2972184206039,3.150962555,35.05043477752554,0.08989795918367348,132.61626914983165,70.91222221193824,1.8701468521671203
288.30252497950164,3.13445955,34.100470237566604,0.09191836734693878,131.92169823232322,68.99030321211391,1.9121773943611147
288.30780671984934,3.345247205,35.61093048989789,0.09393877551020409,140.79323253367005,72.04618807446936,1.9542079365551088
288.3129889985021,3.3743601400000003,35.164535699702256,0.0959591836734694,142.01852441077443,71.14306528134207,1.9962384787491032
288.31832034788226,3.1727274,32.381512726515304,0.0979795918367347,133.532297979798,65.51259750688514,2.0382690209430976
288.3238257875825,3.110602805,31.10602805,0.1,130.917626473064,62.93210304560186,2.0802995631370917
288.32961707238394,3.104157065,31.041570649999997,0.1,130.6463411195286,62.80169617615741,2.0802995631370917
288.3355078029269,3.0372249399999998,30.99854656529889,0.0979795918367347,127.82933249158248,62.71465207886859,2.0382690209430976
288.341311372256,3.081667765,32.11435995002127,0.0959591836734694,129.69982175925927,64.97210786184858,1.9962384787491032
288.347326350693,3.086131755,32.85258657288724,0.09393877551020409,129.88770012626262,66.46564968681355,1.9542079365551088
288.3532293565121,3.1125833099999998,33.86247384325044,0.09191836734693878,131.00098106060605,68.50880124768723,1.9121773943611147
288.35918197615064,3.176446295,35.333908843359815,0.08989795918367348,133.68881712962963,71.48573224327889,1.8701468521671203
288.36443883031484,3.013748915,34.294866891546675,0.08787755102040817,126.84128430134679,69.38359644261989,1.8281163099731261
288.36944735718714,3.083052115,35.90909285357737,0.08585714285714287,129.75808564814815,72.64941470839496,1.7860857677791317
288.37395840395124,3.121093115,37.22822848953261,0.08383673469387756,131.35913783670034,75.31822152743403,1.7440552255851376
288.37723931332255,3.08633674,37.72274888001996,0.08181632653061224,129.89632744107746,76.31870953967001,1.702024683391143
288.38217276528655,3.08257034,38.63067689514067,0.07979591836734694,129.73780892255894,78.15558242211331,1.6599941411971486
288.386957344914,3.100271845,39.86180015875098,0.07777551020408163,130.48282175925925,80.64632717302861,1.6179635990031545
288.39088437381724,3.121708345,41.20789571794181,0.07575510204081633,131.38503135521887,83.36967791083599,1.57593305680916
288.394525550666,3.260348455,44.21729152920011,0.07373469387755102,137.22005281986532,89.45813147342801,1.5339025146151657
288.3983283084214,3.2427327349999997,45.21738873505976,0.07171428571428572,136.47865046296295,91.48147628343108,1.4918719724211715
288.4022553261159,3.241347415,46.508352367496336,0.06969387755102041,136.42034574915826,94.09328696572177,1.4498414302271772
288.4059588327557,3.4411475300000003,50.84928497285887,0.0676734693877551,144.8294414983165,102.87563672749687,1.407810888033183
288.4097367687958,3.393315035,51.68555695212931,0.0656530612244898,142.81628935185185,104.56753883370607,1.3657803458391886
288.41353951211966,3.337618645,52.45135138069275,0.0636326530612245,140.4721651936027,106.11685441371635,1.3237498036451945
288.4168946134041,3.236335425,52.5274712901623,0.06161224489795919,136.20940340909092,106.2708562675969,1.2817192614512
288.41997658371565,3.492582325,58.60840202910958,0.059591836734693884,146.9942055976431,118.57348003111522,1.2396887192572057
288.42302143967083,3.635885955,63.15434661290322,0.05757142857142858,153.02550315656566,127.77059939740143,1.1976581770632115
288.42594182209064,3.534044055,63.61798629500367,0.05555102040816327,148.7392279040404,128.70861116165094,1.1556276348692172
288.42893684337946,3.484033455,65.0848796397255,0.05353061224489796,146.63440467171716,131.67635371555576,1.1135970926752228
288.4317452601741,3.82274133,74.2132825554675,0.051510204081632656,160.88978661616162,150.14446517008938,1.0715665504812284
288.43470295667487,3.888343245,78.56858515670103,0.04948979591836735,163.6508099747475,158.95588756239977,1.0295360082872342
288.4375238790176,3.895590395,82.06531786543422,0.047469387755102045,163.95582470538722,166.03029586664238,0.98750546609324
288.4401709156299,3.95128142,86.9388368118545,0.04544897959183674,166.29972306397306,175.8901466980575,0.9454749238992457
288.4428925912524,4.5671189,105.16392203947366,0.043428571428571434,192.2188089225589,212.76219412615737,0.9034443817052513
288.4454649837456,5.166085575,124.76007549285363,0.04140816326530612,217.4278440656566,252.40811569619,0.8614138395112569
288.44807448632946,5.041536565,127.99756045854923,0.03938775510204082,212.18588236531988,258.95802740919453,0.8193832973172627
288.451355335021,5.35281639,143.24849978700163,0.03736734693877551,225.2868851010101,289.81293706907275,0.7773527551232684
288.4547604428956,5.180547975,146.5628468677829,0.035346938775510206,218.03653093434343,296.5183522278756,0.735322212929274
288.45842637223296,4.619984565,138.6278283435395,0.0333265306122449,194.44379482323234,280.4646341950313,0.6932916707352798
288.4618936048352,5.0772012,162.17917783572358,0.031306122448979595,213.6869191919192,328.11250330653337,0.6512611285412855
288.4654104555748,5.438969050000001,185.7208943902439,0.02928571428571429,228.91283880471383,375.74088355803974,0.6092305863472912
288.46838042827187,5.533074775,202.9346287238024,0.02726530612244898,232.87351746633,410.56681829769286,0.5672000441532968
288.47117672483216,5.63603875,223.2545664915117,0.025244897959183676,237.2070180976431,451.67706276291955,0.5251695019593026
288.47424614385295,5.9292245900000005,255.30053155536027,0.02322448979591837,249.5464894781145,516.510797637465,0.4831389597653083
288.4768062151388,6.06913647,286.22491533205005,0.02120408163265306,255.43503661616163,579.0754074078976,0.4411084175713139
288.4792791353061,5.9792608099999995,311.68487201063823,0.019183673469387756,251.65239099326598,630.5846716141155,0.39907787537731965
288.48161528352904,6.29945605,367.03132752675384,0.01716326530612245,265.1286216329966,742.5587505981084,0.3570473331833254
288.48336765438455,6.450472805,425.97461919811315,0.015142857142857145,271.48454566498316,861.8097619887752,0.31501679098933105
288.4846849030314,6.61007169,503.72241494556766,0.013122448979591837,278.2016704545454,1019.1050709778382,0.27298624879533673
288.4858903999086,6.65953062,599.8474271691176,0.011102040816326531,280.28327525252524,1213.5802114486314,0.23095570660134243
288.4865242134049,6.5625959300000005,722.6229226292135,0.009081632653061226,276.2035324074074,1461.9732277266955,0.18892516440734816
288.486921597743,6.466076665,915.7160594942196,0.007061224489795919,272.1412737794613,1852.62924999525,0.14689462221335384
288.4868471663671,6.153391895,1220.7133718825912,0.0050408163265306125,258.9811403619529,2469.6839977439463,0.10486408001935953
288.48630050223835,4.8630972,1610.0794783783783,0.0030204081632653063,204.6758080808081,3257.429315052553,0.06283353782536522
288.48524407681896,2.27664264,2276.64264,0.001,95.81829292929292,4605.985341111111,0.02080299563137092
